SMILES,ATSC0c,ATSC0se,AATS0i,ATSC1p,AATSC2se,AATSC0m,AATSC1Z,AATSC2are,AATSC1pe,SpDiam_A,ATSC1c,ATSC1se,ATSC1Z,ATSC1m,ATSC4s
CC[C@H](C)[C@H](N)C(=O)O,0.6445318081794124,2.154819818181818,170.3108294213744,0.12693714226553965,0.02582102546347999,36.58157597727274,-0.7870916961826062,0.03769320415456779,-0.022449547422274833,4.329223455850158,-0.45432405564928896,-0.29944182644628037,-16.52892561983473,-76.12126225000006,-21.782196969696965
COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1O,3.4630657002276064,12.260427948051946,163.88586268028533,1.0269466754093106,-0.022798079427066468,39.896596788328544,-0.19589837771655905,-0.029110110668552132,-0.0336446655797304,4.983394461435106,-1.5941171564302299,-2.455356049249455,-15.867768595041284,-56.519365542925,21.418732782369133
CC1=C2C(=O)C=C(CO)C2C2OC(=O)C(C)C2C(O)C1,0.9571042449186477,4.46694947368421,162.0444607052364,0.9015510616884785,0.0044615401662049855,37.46976490304708,0.037396121883656055,0.007086241920590938,-0.012206821329639937,4.884104919283022,-0.49504626469336416,-0.4020722880886427,1.495844875346242,12.257743772853855,-24.556517389966142
CC(CCc1ccccc1)NC(=O)C(N)CC(=O)O,0.9613900355288441,3.341643076923076,165.44379509673027,0.6645234224102645,0.01871161035061379,36.123985733070356,-0.2781065088757394,0.026845394330124492,-0.01490236686390534,4.4361396943208735,-0.6300696880460879,-0.3841926153846157,-10.846153846153836,-47.111233435896835,3.4053984951420926
CCC(C)c1ccccc1NS(=O)(=O)O,0.4662999723571195,3.0359793666666643,163.88773562271118,-1.508717646999994,0.07068371021367517,56.57670691555557,4.024444444444447,0.10464496153846149,-0.008453777777777782,4.684370187272202,-0.45264920908524914,0.3733046333333323,120.73333333333342,511.61174040000026,10.97273186252096
CC1CCC(NS(=O)(=O)O)CC1,0.38817460623908945,3.0317151851851847,168.00922223745687,-1.402863126222217,0.06938853373958005,60.507667039780515,4.742112482853223,0.10118675213675213,-0.008839231824416979,4.524884041515774,-0.37609725484088974,0.3636198148148149,128.037037037037,544.6750351111115,7.747087752920824
OC[C@@H]1O[C@@H](O[C@@H]2[C@H](CO)O[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,2.15510949609109,8.622855999999999,169.54855025424396,0.7512101711658872,-0.038788872824631865,43.676766906666664,-0.7207300053676863,-0.053813000148743094,-0.06401160923242079,4.9015527951596916,-1.0524101240907682,-2.5620515555555556,-33.15358024691357,-138.42875343999998,-17.117283950617285
O=C(O)c1ccc2OCOc2c1,1.0560939555392457,3.0327484444444437,159.20366133752745,-0.22424663363406028,0.006035397530864215,36.153157358024686,-0.061728395061728246,0.0034567901234568016,-0.02744671864847307,4.667819262086953,-0.6496241826383938,-0.5270091358024691,-1.1728395061728367,-2.866329469135927,-26.34619341563786
N[C@H](Cc1ccc(O)cc1)C(=O)O,1.0133712044949954,2.843951833333332,164.28488738725994,1.1824783048333354,0.019654563961988305,37.738739234375,-0.75,0.026439391447368416,-0.03694375000000003,4.486214204495422,-0.6601228239936463,-0.5846620000000001,-18.0,-78.29016799999992,-33.33193479938271
C=C(C)C=NO,0.31926225655545537,1.1852350769230766,169.0994105494033,0.006142309801177047,-0.0018124900800557345,36.85974869822485,-0.556213017751479,-0.002291263487643604,0.019284171597633182,3.804226065180614,-0.10715320290204142,0.2374971597633143,-6.674556213017748,-33.08053768639044,9.868507560815257
CC(C)=CCC(=O)[C@]1(O)C(O)=C(C(=O)C(C)C)C(=O)[C@H]1CC=C(C)C,1.022411022392446,4.785387169811321,163.03467561304666,0.6793385622641552,0.0051030011654269345,35.90231070843717,-0.19223923104307616,0.014689325663749964,-0.008364542541829782,4.985157674930334,-0.3865540674797593,-0.2874762264150953,-10.188679245283037,-44.39697433962283,63.96133954353073
CC(O)C(=O)O,0.7101502443062107,2.345687999999999,170.5202364852495,-0.02231931421224995,0.029898823529411717,44.218520250000005,-1.4545454545454546,0.050588235294117614,-0.06452784090909086,4.0,-0.46751494463567034,-0.5745639999999996,-16.0,-72.12255624999992,-43.5
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,1.8152834095203794,6.710699655172412,163.29466689178838,-0.014320475958792461,0.023639245213424243,37.01919234750298,-0.049356093431952124,0.03485911754713778,-0.01254616931014322,4.635901777089167,-1.2422305457723932,-0.641374200951248,-2.9120095124851755,-9.513136330261474,-65.57586867485796
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,1.0647332913561995,3.482989999999999,155.92270827940587,0.07849130986378072,-0.013985085648148151,34.228108234375,0.1479779411764706,-0.0182696759259259,-0.007567647058823516,4.896851747797273,-0.42047071984428525,-0.2854788750000001,5.03125,25.840267781249832,2.552625868055551
OC/C=C\c1ccccc1,0.26134722294695073,1.0416527999999996,158.78885054274951,0.3977206380000044,-0.00777769806451612,33.21594728999999,-0.26000000000000023,-0.017096774193548443,-0.009767750000000106,4.308682618245762,-0.10627413481011441,-0.1111391999999998,-5.200000000000005,-22.735189200000228,-1.6199999999999974
CC1(C2CC=C(C=NO)CC2)CO1,0.48113808849142026,2.2052964285714287,165.1375348456691,0.3204481513967187,-0.004945191776710683,35.46208286096938,0.3706896551724138,-0.008921611144457782,0.01301792751583385,4.758497321803583,-0.15403690513126472,0.2706741275510204,10.75,49.98122953188755,1.7148437499999998
O=C[C@@H](O)[C@H](O)[C@H](O)CO,0.9729778962147131,3.9094799999999994,170.5202364852495,0.471752361787752,-0.049660516129032245,44.21852024999999,-1.4736842105263157,-0.06999999999999999,-0.07459769736842117,4.3778021186334675,-0.4333345859992219,-1.1266279999999997,-28.0,-123.9545922500001,-8.035833333333333
OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,1.2079106874771954,4.691375999999998,170.52023648524948,0.6114313520000003,-0.033845904761904765,44.218520250000005,-1.0833333333333333,-0.043333333333333335,-0.07546458333333335,4.836578628102113,-0.6282105330175732,-1.5163599999999995,-26.0,-111.61614400000003,-19.998914930555557
