SMILES,ATSC0c,ATSC0se,AATS0i,ATSC1p,AATSC2se,AATSC0m,AATSC1Z,AATSC2are,AATSC1pe,SpDiam_A,ATSC1c,ATSC1se,ATSC1Z,ATSC1m,ATSC4s
CCCCCCNC(=Nc1ccc(C#N)cc1)NCC(=O)O,0.9935805183644661,2.9723959999999994,166.19911056405633,-0.18987415699999927,0.01811769333333333,35.211118266528935,-0.0857438016528921,0.027379801652892544,-0.008043181818181883,4.520910692527686,-0.7143482281679093,-0.29355600000000087,-3.7727272727272525,-16.025562545454342,-7.0453828053259855
CCC(C)C(=O)C1=C(O)C(CC=C(C)C)=C(O)C(O)(CC=C(C)C)C1=O,1.2727920597689009,4.833685714285713,163.16906192196373,1.011067262999998,0.004994612244897957,35.60300795280612,-0.26785714285714285,0.014380540094825802,-0.011536511479591813,5.093692111608057,-0.5676879443859457,-0.4156045714285712,-15.0,-65.37855985714353,71.003319426729
O=C(O)CNC(=Nc1ccccc1)NCC1CCCCC1,0.9554968328776594,2.793191545454544,165.60087395528927,0.13679346900884348,0.016605183057851237,34.7484787536157,0.07125803489439847,0.023809374999999976,-0.006183011937557389,4.483762414264531,-0.6914871076318013,-0.2504102623966947,3.206611570247931,17.63160813274817,-0.12931875573920226
NCCCCC(N)C(=O)O,0.7778400665556517,2.3694793333333326,172.62483175435355,0.44156008943332514,0.019081861111111115,37.235745187499994,-0.9178743961352661,0.02389361111111112,-0.032666334541062804,4.177243029969619,-0.5277453578328848,-0.478886694444445,-21.11111111111112,-95.90010906249985,-27.388888888888896
COC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,1.9234258702629377,6.358699199999998,166.6743707940885,-0.07886613186666433,0.019575696316590556,38.26986459950618,-0.3511111111111117,0.02751600676475562,-0.03051377777777779,4.594755034407626,-1.3069774021863299,-1.1331935999999996,-15.800000000000026,-67.37996399999977,-67.46669410150886
CC(C)(C)CNS(=O)(=O)O,0.3843982849966485,2.9440049565217383,170.12282539925377,-1.7900179610727354,0.0878735529773157,65.681189637051,5.527324282522772,0.13349795841209822,-0.012536398006530386,4.3973824870319955,-0.3779168531471805,0.3105368241965977,121.60113421550099,514.5219665066161,-0.7080937970806928
COCC1=CCC(C)=CC1,0.202921439853055,1.0915919999999995,163.14365078966605,-0.5393498110000015,-0.009452744186046537,32.1938811875,0.2361111111111119,-0.01687338501291988,0.006196006944444463,4.405308133026536,-0.02685348844442644,0.047215999999999175,5.666666666666686,24.93397300000006,0.2654320987654333
O=S(=O)(O)NN1CCC2CCCCC2C1,0.4405215238130663,3.312224727272726,168.3585070143661,-1.410023667466413,0.05068535019119278,55.79021624426079,4.097228974234321,0.0691223880597015,0.0026947523361962036,4.726714736637605,-0.32548719863141357,0.55524282644628,139.30578512396693,596.285671331497,20.87661241105403
O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1,2.0413653768783995,6.985100399999997,163.24148364901208,0.9230694913116761,-0.017883955070422553,39.72752079000001,-0.48559523809523836,-0.024101760563380228,-0.04712428273809521,4.886480147976091,-1.112946905338604,-1.69500622,-20.39500000000001,-83.05676398000031,-17.39
CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC[S+](C)[O-])NC1=O,2.911055939627764,10.872267972413788,165.42459031955536,0.011036885012012942,0.011986548402956534,39.649217600190255,0.589810393032747,0.02211177954031702,-0.002335069640389442,4.8042684587822695,-1.5839477356075957,-0.30511282011890456,87.29193816884654,389.28019059943,-99.47541017578077
C=C(C)[C@@H]1CC=C(/C=N\O)CC1,0.3460929203816226,1.3471999999999995,164.38517369911983,0.48750593562963374,-0.000977371158392436,33.28986590397806,-4.276414613370973e-16,-0.002853124361556193,0.011940740740740745,4.512041964833704,-0.10336527861211642,0.3148640000000002,-1.1546319456101628e-14,-0.6672854814816453,1.8614921505868054
N#Cc1ccc(N=C(N)NCC(=O)O)cc1,0.9998922918719062,2.5244184615384606,166.65318861490348,0.5773936360000016,0.028807621301775138,35.309690224852076,-0.5266272189349118,0.043172189349112405,-0.032955029585798865,4.4939592074349335,-0.765346810126261,-0.5971950769230767,-13.692307692307708,-59.22862953846167,-22.542447403024322
C=CC1CC=C(C=NO)CC1,0.3476669677967597,1.3160878333333328,164.24041790573904,0.4979688569166645,-0.002084005250677501,33.794856984374995,-0.010416666666666111,-0.006450537771002701,0.012786458333333348,4.4431665879055355,-0.10650396910350232,0.30345099999999925,-0.24999999999998668,-1.7475359999998759,0.6362847222222228
C[C@H](NC(=O)[C@H](N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,1.248435968341026,4.499355617021276,167.67909414268777,1.2691511434468143,0.021454227753346673,49.962623519239486,0.20914440923494815,0.03651324936946259,-0.01477550928021732,5.1055876481960265,-0.8751259133235321,-0.5240969999999988,9.829787234042563,46.870512042553614,-16.500857416442635
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1,3.181771220012133,11.737551179487177,164.14865954651236,1.1323684144123751,-0.017165506995953414,39.69969137804075,-0.22149170867119564,-0.022013177024011142,-0.0305089341807289,4.936562990784724,-1.4843777860483014,-2.1780779171597664,-17.940828402366847,-67.77504300591785,55.22074293228139
CC(NC(=Nc1cccc(C#N)c1)NCC(=O)O)c1ccccc1,1.0117060595739398,2.861991619047618,162.53997545003529,0.3366078092126309,0.018281541161392093,34.22502310204081,-0.05864051046775252,0.02720917874396135,-0.010400089648262358,4.597622967488973,-0.7226286324600015,-0.3400799909297051,-2.5215419501133582,-8.447498673469415,-11.08818342151675
CCCCOC(=O)c1ccc(NS(=O)(=O)O)cc1,0.8669811741879079,4.47036618181818,164.07057564776773,-1.9994484106666648,0.06667830563754426,55.83501044628099,3.4517906336088164,0.09849912272071364,-0.011030853994490337,4.607861749643989,-0.7098225417012661,0.16762845454545433,113.90909090909095,482.9654789090915,-6.85481884249654
