SMILES,ATSC0c,ATSC0se,AATS0i,ATSC1p,AATSC2se,AATSC0m,AATSC1Z,AATSC2are,AATSC1pe,SpDiam_A,ATSC1c,ATSC1se,ATSC1Z,ATSC1m,ATSC4s
CCC(C)C(=O)C1=C(O)[C@@H](O)C(CC=C(C)C)C1=O,0.8673807021696315,3.818155902439024,163.70509339252385,0.6600582362926855,0.0027308817467080367,36.09891656038072,-0.24509220701963086,0.009024711802820063,-0.010811302795954747,4.768252833503331,-0.35881720709384396,-0.2904714146341464,-10.048780487804866,-43.77248253658539,56.742944014806014
CC1OC(OC2C(OC3CCC4(C)C(=CCC5C4CCC4(C)C5CC5OC6(CCC(C)(COC7OC(CO)C(O)C(O)C7O)O6)C(C)C54)C3)OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3O)C2O)C(O)C(O)C1O,5.302277640102491,24.5510587118644,166.2843970950899,2.261775955569976,-0.009109000669253148,39.553061178971554,0.10650602549482191,-0.01124885081722192,-0.021080882809540933,5.27811201890113,-2.509208051185036,-3.813665057167473,19.916626767531696,124.98785668486056,67.02982837165425
CC(C)=CCC12CC3C(CC(C(C)C)C3(C)C)(C(=O)C(C(=O)C(C)C)=C1O)C2=O,0.8100199256898637,4.095389784615384,162.59537720512253,1.0839928286306768,0.0037757155029585765,33.82507790863905,0.13875474697518314,0.010725443786982258,-0.002224429214872348,5.327513547262992,-0.2786910477745894,-0.11139230106508857,9.29656804733727,47.85523292118259,78.95833333333336
c1ncc2[nH]cnc2n1,0.3958839267461803,0.7912972307692303,170.66174152207665,-0.5734358748663657,-0.005141838264299743,30.796358082840243,0.1906170752324599,-0.013982840236686373,-0.019655917159763253,4.516122990807133,-0.2392963220478052,-0.2634425562130173,2.668639053254439,13.37700314792901,-2.889875082182775
OC[C@@H](O)[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,2.2154577740885175,8.79596323404255,170.20255458488248,1.0061766060425577,-0.04194693063971599,43.59216794205521,-0.9388863739248524,-0.05820291578264166,-0.06580923494794025,4.840977627196079,-1.0626570948093443,-2.595604936170215,-44.12765957446806,-189.38969574468055,-13.295659172073837
COc1ccc2c(OC)c3ccoc3nc2c1OC,1.2229186150648834,3.671927874999999,160.37798961235114,-1.587859308922887,-0.025510775111607147,36.014570709960935,0.6433823529411765,-0.03252066127232136,0.0018755744485294146,5.010473620867321,-0.43146113550396875,-0.2565112421875002,21.875,100.72244251757826,2.257052951388885
CCC(O)CO,0.42574888934424726,1.8813269999999993,170.4535322629681,-0.07623492864414136,-0.012234168269230763,36.970605984375,-1.1177083333333333,-0.01772836538461537,-0.029547083333333283,3.863703305156273,-0.21029657552863745,-0.31128756249999945,-16.765625,-77.56967664062492,-14.415364583333334
O=S(=O)(O)Nc1ccc(Br)cc1F,0.5076509051407273,3.5870197777777775,166.85544190882473,-1.835981396777777,0.07481549647266313,308.6680472730632,0.5370370370370373,0.11861651234567898,-0.04140864197530858,4.63235223425176,-0.47520038812155957,-0.12711977777777808,9.666666666666671,10.136450955200118,-34.28396966925774
CC(=O)OC1CC2OC(=O)C34CC(CCC3C23COC(=O)C3C1(C)C)C(C)C4=O,1.3569736137215325,6.36199887719298,162.549633180289,-0.12371631376840113,0.017808056782950096,37.264695474299785,0.5378502338676727,0.027237123617773574,0.0029986422051678503,5.41261389120891,-0.7198692452894907,-0.09253802646968298,32.80886426592804,155.4436565589412,-14.785352758113603
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.721822355460441,4.037296744186046,165.3038731145983,0.5740239033310586,0.011181415251487277,36.43008313466738,0.02130144058213278,0.01903418509210065,-0.0068271178524018615,4.766210862581305,-0.43908742131532236,-0.23123843591130314,0.9372633856138424,7.690392283937221,24.389234421008343
CCC=CCC=CCC=CCCCCCCCC(=O)O,0.5813374245094384,2.2031596799999997,164.01461083904942,-0.0871393269936356,0.010284470036363628,31.772799561600003,-0.25890612244897965,0.011486363636363645,-0.0038101910204081384,3.98633797202668,-0.35491069241072254,-0.09205632640000252,-12.686400000000003,-59.69112295840007,-3.965111111111111
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,1.1001097737559267,4.8336836363636335,163.83042020981765,1.2225217574969307,0.0029423325498521176,35.68248990082646,0.0582862113962589,0.003971491394343812,-0.009099999999999832,5.1705904063907555,-0.5707068116822692,-0.4142088595041372,3.3223140495867574,21.913578743801708,7.202134986225891
O=[N+]([O-])c1ccc(NS(=O)(=O)O)c(Cl)c1,0.6620017323886163,3.646908199999999,165.52900931553728,-1.234599785499997,0.08075926741935481,81.8236858875,2.2299999999999995,0.12865621774193547,-0.0075519999999999286,4.684457307251984,-0.44284793688058,0.3397960999999996,44.59999999999999,185.23037424999998,-29.16684051592743
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,0.4548337294104622,1.690599999999999,161.02755731059042,0.35841371260369725,-0.0037318604651163058,32.77170302685951,0.41397045894144574,-0.007089419565635231,0.0011461436170211944,4.979429399069076,-0.16262086864686132,-0.0548720000000015,19.45661157024795,94.10526914669417,0.44352617079889844
CC(CC(=O)O)S(=O)(=O)c1ccc(Cl)cc1,0.6635766734897476,3.8279205185185177,159.9752633849533,0.06992055355555638,0.03133550414504679,81.71053617283951,2.2524005486968424,0.051221267966839595,-0.010029766803840877,4.781995299910633,-0.41581294872310864,0.0790848148148143,60.81481481481474,262.33704722222257,-82.66312742932266
COCC(C)(OC)C1CC=C(C)CC1,0.3617817741992644,2.102036,165.57286636717993,-1.1480049373333292,-0.00839485947712417,32.58584058333334,0.3271604938271612,-0.011883623819898315,0.008130864197530794,4.730109265348874,-0.06740252159190727,0.07929866666666698,11.777777777777803,51.86393999999984,-1.169753086419754
CC(C)CC(N)C(=O)O,0.6437587392693784,2.154819818181818,170.3108294213744,0.12693714226553948,0.02582102546347999,36.58157597727274,-0.7870916961826062,0.03769320415456779,-0.022449547422274833,4.233766315748669,-0.45313193441627186,-0.29944182644628037,-16.52892561983473,-76.12126225000006,-16.763257575757574
