,SMILES,Parent_SMILES
978,CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O,CC1=C2C3OC(=O)C(C)C3C(O)CC2(C)C=CC1=O
979,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3cocc3)OC(=O)C3OC321,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321
980,N#Cc1ccc(N=C(NCC(=O)O)NCc2ccccc2)cc1,N#Cc1ccc(N=C(NCC(=O)O)NCc2ccccc2)cc1
981,NC(Cc1cnc[nH]1)C(=O)O,NC(Cc1cnc[nH]1)C(=O)O
982,OC[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,OC[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
983,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2c1cc(OC)cc2,C=C[C@H]1C[N@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
984,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O
985,Cc1cc(N=C(NCC(=O)O)NC(C)c2ccccc2)cc(C)c1,Cc1cc(C)cc(N=C(NCC(=O)O)NC(C)c2ccccc2)c1
986,O=S(=O)(O)N(CCN1CCCCC1)S(=O)(=O)O,O=S(=O)(O)N(CCN1CCCCC1)S(=O)(=O)O
987,O=C1c2c(O)cc(O)cc2O[C@H](c2cc(O)c(O)cc2)[C@H]1O,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O
988,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OCC(O)C(O)C1O)C3,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OCC(O)C(O)C1O)C3
989,COc1ccc2cc3-c4cc5c(cc4CC[n+]3cc2c1OC)OCO5,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2
990,CCC(C)C(=O)C1=C(O)[C@](O)(C(=O)/C=C/C(C)(C)O)C(CC=C(C)C)C1=O,CCC(C)C(=O)C1=C(O)[C@](O)(C(=O)/C=C/C(C)(C)O)C(CC=C(C)C)C1=O
991,N[C@H](Cc1cnc[nH]1)C(=O)O,N[C@H](Cc1cnc[nH]1)C(=O)O
992,Cc1c(C)cc2c(c1)nc1-c(nc(=O)[nH]c1=O)n2C[C@@H](O)[C@@H](O)[C@@H](O)CO,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C
993,C=C1C[C@]23CC[C@@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@H]2CC[C@]1(O[C@@H]1OC(CO)C(O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C1O[C@H]1OC(CO)C(O)C(O)C1O)C3,C=C1C[C@]23CC[C@H]4[C@@](C)(CCC[C@]4(C)C(=O)O)[C@H]2CC[C@]1(O[C@@H]1OC(CO)C(O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C1O[C@H]1OC(CO)C(O)C(O)C1O)C3
994,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
995,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
996,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O,OC[C@@H]1O[C@@H](O[C@H]2[C@@H](O)[C@@H](O)[C@H](O)O[C@H]2CO)[C@H](O)[C@H](O)[C@@H]1O
997,O=C(O)CNC(=Nc1ccccc1)Nc1ccccc1,O=C(O)CNC(=Nc1ccccc1)Nc1ccccc1
998,CCC(CO)NC(=O)C1C=C2c3c4c(c[nH]c4ccc3)CC2N(C)C1,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
999,OC[C@@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
1000,O=S(=O)(O)Nc1ccc(N(c2ccccc2)S(=O)(=O)O)cc1,O=S(=O)(O)Nc1ccc(N(c2ccccc2)S(=O)(=O)O)cc1
1001,O=S(=O)(O)Nc1ncc(Br)cc1Br,O=S(=O)(O)Nc1ncc(Br)cc1Br
1002,CC(C)=CCC[C@](C)(O)[C@@H]1CCC(C)=CC1=O,CC(C)=CCC[C@](C)(O)[C@@H]1CCC(C)=CC1=O
