SMILES,BCUT2D_MRHI,AXp-6dv,piPC4,GATS1d,Kappa3,AATS7i,AATS8i,GATS2v,MATS1v,GATS2m,MATS2s,MATS2d,GATS3dv,GATS4dv,ATSC5c,ATSC5d,GATS6s,ATSC7dv,MPC5,BCUTi-1h,fr_Ndealkylation1,MINssO,MDEC-13,PEOE_VSA8,MINdO,BCUTdv-1l,fr_NH0,naHRing,SlogP_VSA10
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,5.938905604805097,0.028643337549325163,3.9889840465642745,1.1884057971014492,3.786313953271436,160.34460002401937,170.68691950074248,1.0353471150993672,0.033447904081642256,0.8455451720221506,0.03883648488740685,-0.14229249011857714,1.2208692528735632,0.9438378033205619,0.23954019360567927,-3.1224489795918347,1.0939116546810894,-38.28571428571427,37.0,13.636913320695589,0.0,,4.9812870263797855,0.0,11.931030013857395,0.9921680855063254,0.0,0.0,0.0
COC(=O)c1cc(NS(=O)(=O)O)cc(C(=O)OC)c1,7.8668641398108425,0.014603347395773665,4.708403440629744,1.1364296081277216,4.228579655951432,167.88761746885544,172.8336253052433,0.6820409586382837,-0.026292419809272695,0.8285762437431722,0.3777001411336102,0.028664731494920208,1.0006119260843416,1.1537956125108602,0.14477615490421641,-5.605555555555554,0.969507700911476,45.4567901234568,42.0,14.539668439809098,0.0,4.458977702191988,2.565378780242026,0.0,10.714133755353993,0.6444450722586753,0.0,0.0,5.687386274683562
C=C1C(=O)OC2C=C(C)C(O)CCC(C)=CC(O)C12,5.909052864887929,0.01950866416555768,4.30406509320417,0.9983532934131735,2.795928860038794,165.7462202216438,182.085360651632,1.0125432175547968,0.04928876015036468,0.8483438669995802,0.05130514640952278,-0.06586826347305397,0.971845094664372,0.98302925989673,0.17136541396017899,-5.0887573964497035,0.9574980288550474,-73.56015779092702,51.0,13.642932204545707,0.0,5.218604497354497,7.2584701483343315,5.573104530069267,11.606785241874526,0.9950088516363218,0.0,0.0,0.0
O=C(O)CNC(=Nc1ccccc1)NS(=O)(=O)c1ccccc1,7.896801177321301,0.021006216054951503,4.995521656286208,1.135804685396284,5.114307353637753,158.81856934307754,158.41185911043098,1.0912732184214988,0.04711912217276918,0.9043231387749328,0.26922180716392763,-0.10460345541461218,1.0935334022542638,1.0275129912903467,0.5517818924551474,-1.0969529085872585,1.364025970063343,55.86826715912589,50.0,14.557106337388653,0.0,,,0.0,10.697062424908744,0.6442362147113982,1.0,0.0,5.687386274683562
O=C1NC(Cc2ccc(O)cc2)C(=O)N2CCCC12,5.970703936155567,0.017128055532526835,4.618826512435577,0.9027238726977628,2.1584963374457726,161.7793898581065,159.5515068576976,1.075797725516636,0.0456859646569697,0.8628203235728633,0.04810292585889061,-0.1229881921982776,1.077119883040936,1.2522644927536237,0.06562577076909552,1.2163265306122466,0.8552682816446748,-8.11591836734694,63.0,14.543856576362822,0.0,,,12.965578028838586,11.93103636516335,1.8561945349316287,1.0,0.0,0.0
OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O,5.209084915073781,0.011968265062210083,4.312475571712766,1.0949750830564782,2.62776870570961,161.28093371472352,166.48727893111632,1.1738210349100058,0.08158484594219606,1.0234592677106056,-0.2004990254143162,-0.1269379844961239,1.0381490920675376,1.2165592264302982,0.0867948670610694,0.3044982698961935,0.9458295398015784,-19.0,48.0,13.633661356424668,0.0,5.20223261526833,,0.0,,1.9860220105809887,0.0,0.0,0.0
CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O,5.721784669684173,0.012543154484569457,4.07753744390572,1.1737516869095819,9.920374960839984,163.99485805953253,166.124565660839,0.9570608537376388,-0.14282097699597546,0.7153843279815885,0.14430881312680363,0.06480171698941524,1.533048637944428,0.8797330867091804,0.6788620892797826,-7.17367763431903,0.9500086012262352,-88.97209496043314,56.0,13.65277371894865,0.0,4.773051933736458,9.888370639180899,34.61868599845312,11.080595876869776,0.995030772668536,0.0,0.0,0.0
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,4.874163848085258,0.013609106851142149,3.1780538303479458,1.2578125,1.5817587586505184,184.98430819222426,184.91765202424898,1.3022526147924194,0.1273339409304006,1.0087704513574802,-0.20239077526851157,-0.1607142857142857,0.9559314954051796,1.130465051517683,0.05274476549344842,1.75,1.0450251830390647,12.0,24.0,13.632762613250772,0.0,4.575925925925926,,0.0,,1.9860251574181413,0.0,0.0,0.0
C=CCc1ccc(OC)c(OC)c1,5.427455379823545,0.016639068504966284,4.335655417491759,0.6046511627906979,2.246236623067777,171.49151178406294,168.5487955769829,0.8006551587031565,-0.0689438936379052,0.9801577447825525,-0.17233924611973392,0.0917019027484144,1.0798224601944486,1.2507358351729214,-0.21986659233548153,-7.323731138545956,0.8318001060445389,14.753086419753082,25.0,13.628901578571528,0.0,5.118517337490552,2.6279861031973684,0.0,,0.9966232906076402,0.0,0.0,0.0
NCCC[C@H](N)C(=O)O,5.724247701665826,0.025204287525485453,1.9459101490553132,1.3846153846153848,3.931271989174561,186.17128630330856,184.91765202424898,1.4248951424294982,0.05585762467623397,0.9518887760900124,0.18921556117662067,-0.3009049773755655,0.8872174202127657,1.2495457848837206,0.07582674555588964,-1.4444444444444446,1.3178937518608307,-13.265306122448974,4.0,14.538878981757714,0.0,,,0.0,10.03932634164777,1.8542003513373189,0.0,0.0,0.0
