SMILES,BCUT2D_MRHI,AXp-6dv,piPC4,GATS1d,Kappa3,AATS7i,AATS8i,GATS2v,MATS1v,GATS2m,MATS2s,MATS2d,GATS3dv,GATS4dv,ATSC5c,ATSC5d,GATS6s,ATSC7dv,MPC5,BCUTi-1h,fr_Ndealkylation1,MINssO,MDEC-13,PEOE_VSA8,MINdO,BCUTdv-1l,fr_NH0,naHRing,SlogP_VSA10
C=CC1CC=C(C=NO)CC1,5.775366541143236,0.02736794487473197,3.4965075614664802,1.0104602510460252,2.221489317968679,172.0696548246381,180.21067121367463,1.199127680645617,0.019854829050530605,1.0448268065263724,0.004138716730799474,-0.22359424431064392,0.8696143700540134,0.834746111431158,-0.05555712106778603,1.4531249999999987,2.201800267607348,0.09027777777777857,18.0,14.559116856448867,0.0,,0.6324555320336759,0.0,,1.8925590454074015,1.0,0.0,0.0
C[C@H](NC(=O)[C@H](N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,8.031544630933475,0.0258237159490452,3.970291913552122,1.2610250297973775,4.359412191892007,167.8471185171495,171.72295329142108,0.9490410665921678,0.047674386912328864,0.757244055995083,0.16905597924736396,-0.1880569271808843,1.0524973779006908,1.1412370801738028,0.6984965380725989,-5.854232684472612,1.1020968756149288,17.29802323826768,36.0,14.542159742351908,0.0,,6.383724011467194,9.494044906435118,10.52719221044708,0.6605975714655354,0.0,0.0,0.0
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1,6.010128417451798,0.012550703955987723,5.37989735354046,0.9966148944643565,6.775959962980319,160.08513614309933,163.14660974154495,1.0456801671842622,0.0762353676477835,0.9182803890885656,-0.11712162119554241,-0.07162033786295488,1.0481978098613995,1.0629486265683772,-1.0273415592722386,15.349112426035505,0.9415836820722733,-14.399079552925695,132.0,13.643456142018232,0.0,5.109267432320456,4.011595313780408,18.55355575984923,12.830685875323253,0.9937242711574988,0.0,0.0,0.0
CC(NC(=Nc1cccc(C#N)c1)NCC(=O)O)c1ccccc1,5.8579895384535225,0.013021306395566876,4.995521656286208,0.9358695652173912,5.141989484760499,159.1764204361914,159.32188622939182,1.052689004310517,0.03238576027253519,0.8669694615731286,0.18408048268188332,-0.14120982986767486,1.1270529832049734,1.0357474250719123,0.596655000567352,0.20634920634920595,0.7255208595939006,6.895691609977321,52.0,14.56382951892889,0.0,,1.8256722996548274,0.0,10.824063712695565,0.993947538939377,2.0,0.0,5.687386274683562
CCCCOC(=O)c1ccc(NS(=O)(=O)O)cc1,7.866848085330304,0.01776947436070344,4.452892750542514,1.273273273273273,5.153188775510203,160.70750279185089,164.21116066043055,1.0649457876772215,-0.0017205877544621726,0.8545450349344212,0.4771232885647623,0.013996138996139029,0.8834520463320463,1.0160432432432434,-0.1819568761768133,-0.8595041322314048,1.2263696442970429,-31.308641975308646,31.0,14.539665891718352,0.0,4.982285092277651,0.46415888336127803,0.0,10.546677091562623,0.6444461894285383,0.0,0.0,5.687386274683562
CCCCCC(=O)CC(=O)NC1CCOC1=O,5.989160639691537,0.0239269079337523,3.6375861597263857,1.1170212765957446,4.97474535650603,165.41958500897576,167.33780917705275,1.2191817091963926,-0.03694241669042279,0.9119169411270546,0.07539997241264411,-0.06431834281945437,1.0050362510759454,0.9448671752213749,0.15665888942540834,-0.5601851851851851,1.4518832480921666,-10.691358024691361,22.0,14.540283632489922,0.0,4.712188490371661,0.5339275775233185,12.841643245852019,11.084572002622597,0.9879390063094782,0.0,0.0,0.0
CCC(C)C(=O)C1=C(O)C2(CC=C(C)C)CC3C(CC(C(C)(C)O)C3(C)C)(C1=O)C2=O,6.321377131316154,0.01694507198177187,5.19295685089021,0.9618464209917035,3.022643899030483,162.18491313536128,161.63996616828862,0.8683885620373952,0.06218353400577494,0.6866579188100389,0.04258303583659252,0.12951561986658477,0.9903664176449665,1.0227088340000359,-0.332820458689753,-28.206679269061127,1.5152817413122999,-317.7826086956522,174.0,13.639703302136839,0.0,,14.969969902544923,5.917906046161393,13.266081467309146,0.987376702053938,0.0,0.0,0.0
COc1cc2c(CCC(C)(C)O2)c2c1C(=O)CC(c1ccc(O)cc1)O2,6.031457250060904,0.012859238729203127,5.368309738368072,0.8373868778280542,2.7722490405545743,158.72530009147997,156.66089063872414,0.8308792868407339,0.03112888647465658,0.7363829203575165,0.05037616551501584,0.021978021978021945,1.1559562398703407,0.8874114209324613,-0.42707762393007537,-12.000000000000002,1.4748057016432023,-153.08333333333331,117.0,13.637461691418089,0.0,5.460067773436279,5.037741443180275,11.629818560158606,12.878864284139581,0.9925689177694837,0.0,0.0,0.0
C=C1C(=O)OC2CC(C)=CCCC3(C)OC3C(OC(C)=O)C12,5.9075307226027585,0.018532850335988237,4.394449154672439,0.9881615598885795,2.580973602211031,163.41074883750807,177.7079950557672,0.9686852147428644,-0.00453294302175387,0.783727724722998,0.16754358356791912,-0.039196179864703445,1.1762371731214831,0.890096000531491,-0.07606321976075985,-16.194214876033058,0.8107397631885273,-185.54545454545456,79.0,13.645242243529307,0.0,5.465288170823885,8.755180424021228,18.9176633526859,11.528940775384228,0.995012370208288,0.0,0.0,0.0
CC(=O)OCc1ccc2OCOc2c1,5.655074395876736,0.01198871447614898,4.423348504235788,0.7935000000000002,1.787420216925188,168.29450644418233,166.32338822987978,0.7766964769164066,-0.06348994338083604,0.8440891320737038,0.10757124511598677,-0.02857142857142864,1.2749881347887992,1.0130042714760321,0.16389240642193634,-1.666666666666666,1.55711601106284,31.125,34.0,13.64314155890385,0.0,4.852390400604686,1.1110476136047163,6.923737199690624,10.57265518707483,0.9959574496496559,0.0,0.0,0.0
